animal_id;name;breed;species;age;gender;sos;image_url;shelter
136001;PAPOUILLE;Croisé / Autre, Cane Corso;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/136001/papouille-136001-6707d9e3780c4.jpg;La SPA - Refuge d'Étalondes
137585;SNOOP HAA24284;Croisé / Autre, Basset hound;Chien;adult;male;false;https://www.la-spa.fr/app/app/uploads/animals/137585/snoop-haa24284-137585-6739a23f5cb9a.jpg;La SPA - Refuge d'Hermeray
95033;Menphis;Berger allemand;Chien;adult;male;true;https://www.la-spa.fr/app/uploads/animals/95033/menphis-95033-64ff16d25b5d5.jpg;La SPA - Refuge de Marennes – Lyon
83596;Socrate;Dogue argentin;Chien;adult;male;true;https://www.la-spa.fr/app/app/uploads/animals/83596/socrate-83596-66c314142da45.jpg;La SPA - Refuge de Cabourg
146263;TYRON VAA23994;Berger belge Malinois;Chien;adult;male;true;https://www.la-spa.fr/app/app/uploads/animals/146263/tyron-vaa23994-146263-6745acf128b14.jpg;La SPA - Refuge de Vaux-Le-Penil
144261;MAKI;Croisé / Autre, Pointer;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/144261/maki-144261-6732371460db3.jpg;La SPA - Refuge de Brugheas – Vichy
122067;MALONN * SYLVERSTER *;Berger belge Malinois;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/122067/malonn-sylverster-122067-6714f1b866795.jpg;La SPA - Refuge de Port-La-Nouvelle – Narbonne
20725;BONNY VAA22640;Berger;Chien;adult;female;true;https://www.la-spa.fr/app/uploads/animals/20725/bonny-vaa22640-20725-65323c37dbb68.jpg;La SPA - Refuge de Vaux-Le-Penil
116561;NOUGAT;Labrador (retriever);Chien;adult;male;true;https://www.la-spa.fr/app/app/uploads/animals/116561/nougat-116561-67486be761b61.jpg;La SPA - Refuge de La-Roche-Sur-Yon
19992;ROXY CHAO11309 (éligible famille d'accueil);Croisé / Autre, Labrador (retriever);Chien;senior;male;false;https://www.la-spa.fr/app/app/uploads/animals/19992/roxy-chao11309-eligible-famille-daccueil-19992-672e16d29a687.jpg;La SPA - Refuge de Chamarande
41022;KIWI CHAO11557;Croisé / Autre, Dogue argentin;Chien;adult;male;true;https://www.la-spa.fr/app/app/uploads/animals/41022/kiwi-chao11557-41022-669233b73b79a.jpg;La SPA - Refuge de Chamarande
145443;Swift;Croisé / Autre, Dogue;Chien;junior;male;false;https://www.la-spa.fr/app/app/uploads/animals/145443/swift-145443-673deac284385.jpg;La SPA - Refuge de Tilloy-Les-Mofflaines – Arras
